store_id,category,rmse_prophet,rmse_sarimax,rmse_lgbm,best_type
STR_107,Fashion,inf,649035.3329312373,410960.5748470331,lgbm
STR_103,Home Appliances,inf,714899.6132519998,420925.5389683815,lgbm
STR_104,Sports,inf,721658.7822459582,465443.9759354865,lgbm
STR_104,Home Appliances,inf,634167.2687525479,466416.2298987284,lgbm
STR_103,Fashion,inf,802368.0720130587,468533.83502462,lgbm
STR_105,Fashion,inf,664304.662402948,468895.8662364359,lgbm
STR_108,Electronics,inf,738561.5618645733,470521.1214010389,lgbm
STR_105,Home Appliances,inf,575100.5163826087,474954.53912831517,lgbm
STR_106,Home Appliances,inf,712039.9978657329,474971.4106840768,lgbm
STR_106,Fashion,inf,705925.0211587305,475735.6050808943,lgbm
STR_106,Electronics,inf,581016.5483329083,484336.7814003167,lgbm
STR_105,Sports,inf,632466.8926735915,488915.37853991054,lgbm
STR_101,Groceries,inf,756124.4985043309,492447.4339639371,lgbm
STR_103,Electronics,inf,620051.6156370617,501201.9395132009,lgbm
STR_101,Fashion,inf,775933.7974802786,514340.137208198,lgbm
STR_103,Groceries,inf,1189514.6879506225,519452.74031352677,lgbm
STR_104,Groceries,inf,696716.4730746299,522277.2185044836,lgbm
STR_102,Home Appliances,inf,715493.3347428653,550716.6891316478,lgbm
STR_107,Groceries,inf,686472.4591768874,552280.0747409557,lgbm
STR_108,Groceries,inf,842947.0198709334,569213.6736704899,lgbm
STR_106,Sports,inf,988252.1804179865,570856.3903341151,lgbm
STR_103,Sports,inf,801801.8527416713,587374.3029383796,lgbm
STR_102,Fashion,inf,798196.967032901,595462.0372598146,lgbm
STR_108,Sports,inf,708202.9297386021,603461.2048896496,lgbm
STR_107,Home Appliances,inf,1124179.307952221,609435.5682892965,lgbm
STR_102,Sports,inf,698008.203554312,626532.5466326671,lgbm
STR_108,Fashion,inf,907652.252578411,627277.515664204,lgbm
STR_104,Electronics,inf,841835.3402045289,629035.7735889485,lgbm
STR_101,Home Appliances,inf,882963.1371305154,634744.6122539747,lgbm
STR_104,Fashion,inf,792086.6186051081,653884.1541968746,lgbm
STR_105,Groceries,inf,840132.9574155979,673155.7319172658,lgbm
STR_105,Electronics,inf,881461.4081517905,694212.8791120119,lgbm
STR_107,Electronics,inf,992026.423139907,695761.5488172098,lgbm
STR_101,Electronics,inf,1123166.1781722964,697933.5365343496,lgbm
STR_101,Sports,inf,860952.7587419206,702885.8641383315,lgbm
STR_102,Groceries,inf,884062.0926781918,723500.0683906571,lgbm
STR_107,Sports,inf,1188184.2719015612,740755.362531265,lgbm
STR_102,Electronics,inf,1006085.4426162886,778373.3026473882,lgbm
STR_108,Home Appliances,inf,834541.4228581527,779851.0490448171,lgbm
STR_106,Groceries,inf,1041682.5754600178,815858.472965341,lgbm
